first_prev_rate,final_prev_rate,prev_rate_div,final_fn_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.1,0.0543,0.5429999999999999,1.4672897196261683,0,0.8840298507462686,0.9276865671641791,0.5,0,10000,987,9013,987,9013,880,621,8392,107,880,621,880,621,543,9457,543,9457,386,93,972,50,543,9457,543,9457,386,93,9364,157,0.975,0.8058455114822547,0.7108655616942909
0.1,0.038,0.37999999999999995,1.2833333333333334,0,0.8840298507462686,0.9276865671641791,0.7,0,10000,987,9013,987,9013,867,666,8347,120,867,666,867,666,380,9620,380,9620,226,81,1192,34,380,9620,380,9620,226,81,9539,154,0.9765,0.7361563517915309,0.5947368421052631
0.1,0.0203,0.20299999999999999,1.1065573770491803,0,0.8840298507462686,0.9276865671641791,0.9,0,10000,987,9013,987,9013,865,681,8332,122,865,681,865,681,203,9797,203,9797,68,108,1357,13,203,9797,203,9797,68,108,9689,135,0.9757,0.38636363636363635,0.33497536945812806
0.1,0.0103,0.103,1.0,0,0.8840298507462686,0.9276865671641791,1,0,10000,987,9013,987,9013,884,657,8356,103,884,657,884,657,103,9897,103,9897,0,105,1436,0,103,9897,103,9897,0,105,9792,103,0.9792,0.0,0.0
0.1,0.0538,0.5379999999999999,1.4814814814814814,0,0.8840298507462686,0.9276865671641791,0.5,0,10000,987,9013,987,9013,879,636,8377,108,879,636,879,636,538,9462,538,9462,378,74,1011,52,538,9462,538,9462,378,74,9388,160,0.9766,0.8362831858407079,0.7026022304832714
0.1,0.0384,0.38399999999999995,1.3274336283185841,0,0.8840298507462686,0.9276865671641791,0.7,0,10000,987,9013,987,9013,874,665,8348,113,874,665,874,665,384,9616,384,9616,234,97,1171,37,384,9616,384,9616,234,97,9519,150,0.9753,0.7069486404833837,0.609375
0.1,0.0217,0.217,1.110236220472441,0,0.8840298507462686,0.9276865671641791,0.9,0,10000,987,9013,987,9013,860,674,8339,127,860,674,860,674,217,9783,217,9783,76,119,1325,14,217,9783,217,9783,76,119,9664,141,0.974,0.38974358974358975,0.35023041474654376
0.1,0.0108,0.108,1.0,0,0.8840298507462686,0.9276865671641791,1,0,10000,987,9013,987,9013,879,607,8406,108,879,607,879,607,108,9892,108,9892,0,96,1390,0,108,9892,108,9892,0,96,9796,108,0.9796,0.0,0.0
0.1,0.054,0.5399999999999999,1.3140495867768596,0,0.8840298507462686,0.9276865671641791,0.5,0,10000,987,9013,987,9013,866,615,8398,121,866,615,866,615,540,9460,540,9460,381,77,985,38,540,9460,540,9460,381,77,9383,159,0.9764,0.8318777292576419,0.7055555555555556
0.1,0.0359,0.359,1.2568807339449541,0,0.8840298507462686,0.9276865671641791,0.7,0,10000,987,9013,987,9013,878,657,8356,109,878,657,878,657,359,9641,359,9641,222,86,1199,28,359,9641,359,9641,222,86,9555,137,0.9777,0.7207792207792207,0.6183844011142061
0.1,0.0189,0.189,1.0661157024793388,0,0.8840298507462686,0.9276865671641791,0.9,0,10000,987,9013,987,9013,866,628,8385,121,866,628,866,628,189,9811,189,9811,60,112,1314,8,189,9811,189,9811,60,112,9699,129,0.9759,0.3488372093023256,0.31746031746031744
